City_ID,City,Country,Max Temp,Lat,Lng,Current_Description,Hotel Name
0,Sandnessjoen,NO,48.42,66.0217,12.6316,overcast clouds,Syv Søstre Apartments
1,Ushuaia,AR,40.66,-54.8,-68.3,overcast clouds,Albatross Hotel
3,Hermanus,ZA,53.8,-34.4187,19.2345,overcast clouds,Misty Waves Boutique Hotel
4,La Rioja,ES,46.18,42.25,-2.5,overcast clouds,Casa Concejos
9,Altayskoye,RU,43.57,51.9533,85.3325,overcast clouds,ЭКО-ТРЕВЕЛ АЛТАЙ
12,Bredasdorp,ZA,54.63,-34.5322,20.0403,overcast clouds,Bredasdorp Country Manor
14,Havre-Saint-Pierre,CA,47.28,50.2334,-63.5986,overcast clouds,Auberge Niapiskau 2
21,Mar Del Plata,AR,52.09,-38.0023,-57.5575,overcast clouds,Gran Hotel Mar del Plata
22,Matagami,CA,51.22,49.7502,-77.6328,overcast clouds,Motel Le Caribou
25,Koscierzyna,PL,51.3,54.1223,17.9812,overcast clouds,Bazuny Hotel & SPA Kaszuby
27,Punta Arenas,CL,42.12,-53.15,-70.9167,overcast clouds,Hotel Hain
29,Coquimbo,CL,55.13,-29.9533,-71.3436,overcast clouds,Hotel San Juan
31,Castro,BR,55.92,-24.7911,-50.0119,overcast clouds,CHACARA BAILLY
34,Vesoul,FR,46.08,47.5833,5.8333,overcast clouds,Camping Municipal La Louvière
36,Trofors,NO,44.47,65.5333,13.4063,overcast clouds,Utpå Neset AS
46,Vagay,RU,47.19,57.9375,69.0217,overcast clouds,
55,Cidreira,BR,51.6,-30.1811,-50.2056,overcast clouds,Hotel Castelo
59,Rocha,UY,45.63,-34.4833,-54.3333,overcast clouds,Hotel Arrarte
60,Neuquen,AR,48.09,-38.9516,-68.0591,overcast clouds,Hotel del Comahue
61,Kostino,RU,48.22,58.9097,53.2691,overcast clouds,"Кафе-гостиница ""Привал"" бесплатный WiFi, номер 500 руб."
68,Balkhash,KZ,48.81,46.844,74.9804,overcast clouds,Family
70,Agirish,RU,43.95,61.9247,63.0231,overcast clouds,
72,Augustow,PL,49.01,53.8432,22.9798,overcast clouds,Hotel Warszawa SPA & Resort
77,Kargopol,RU,44.49,61.5071,38.9456,overcast clouds,Moroshka Inn
84,Jamestown,US,42.19,42.097,-79.2353,overcast clouds,Hampton Inn & Suites Jamestown
86,Yar-Sale,RU,40.15,66.8333,70.8333,overcast clouds,Yalemd
90,Demidov,RU,40.66,55.2706,31.515,overcast clouds,Mini-Hotel on Prosveshcheniya
99,Kapuskasing,CA,50.25,49.4169,-82.4331,overcast clouds,Park Inn Motel
100,Sorland,NO,46.26,67.667,12.6934,overcast clouds,Sjybrygga fiskecamp
101,San Carlos De Bariloche,AR,44.24,-41.1456,-71.3082,overcast clouds,Hotel Patagonia
107,Puerto Montt,CL,49.75,-41.4698,-72.9447,overcast clouds,Holiday Inn Express Puerto Montt
108,Shatura,RU,49.64,55.5725,39.5368,overcast clouds,"Shaturskiy Bereg, Baza Otdykha"
112,Torbay,CA,41.76,47.6666,-52.7314,overcast clouds,Gallows Cove
116,Sistranda,NO,49.96,63.7256,8.834,overcast clouds,Hotell Frøya
118,Kuusamo,FI,41.04,65.9667,29.1833,overcast clouds,Hotel Kuusanka
119,Klaksvik,FO,54.52,62.2266,-6.589,overcast clouds,Airbnb rooms
120,Echternach,LU,46.62,49.8056,6.4222,overcast clouds,"Hôtel Bel-Air, Sport & Wellness - Echternach"
123,Speedway,US,51.46,39.8023,-86.2672,overcast clouds,Ramada Limited Indianapolis West
130,Lebu,CL,51.1,-37.6167,-73.65,overcast clouds,Hostal Las Lilas
138,Chuy,UY,53.96,-33.6971,-53.4616,overcast clouds,Nuevo Hotel Plaza
154,Antofagasta,CL,54.43,-23.65,-70.4,overcast clouds,"Holiday Inn Express Antofagasta, an IHG Hotel"
157,Eyrarbakki,IS,47.21,63.863,-21.1481,overcast clouds,Guesthouse 77
158,Konosha,RU,44.02,60.9736,40.257,overcast clouds,Gostinitsa Miks
160,Shadrinsk,RU,51.01,56.0852,63.6335,overcast clouds,Ural
163,Westport,US,51.57,41.1415,-73.3579,overcast clouds,The Westport Inn
167,Purranque,CL,49.28,-40.9167,-73.1667,overcast clouds,HOSPADAJE ERICA
171,Walsrode,DE,51.03,52.8667,9.6,overcast clouds,ANDERS Hotel Walsrode
172,Ostrovnoy,RU,40.37,68.0531,39.5131,overcast clouds,
175,Krasnomayskiy,RU,41.77,57.6194,34.4099,overcast clouds,
179,Terrace Bay,CA,52.25,48.7834,-87.1,overcast clouds,Drifters Motel & Restaurant
182,Valdivia,CL,51.89,-39.8142,-73.2459,overcast clouds,Hostal Entre Rios
184,Shemonaikha,KZ,47.77,50.6328,81.9056,overcast clouds,Perekrestok
186,Forestville,US,48.18,38.8451,-76.875,overcast clouds,Quality Inn Near Joint Base Andrews-Washington Area
187,Ancud,CL,52.23,-41.8697,-73.8203,overcast clouds,Hotel Arena Gruesa
188,Kozhva,RU,40.3,65.1073,57.0459,overcast clouds,Gostinicha IP Kayuda Olga Aleksandrovna
189,Comarapa,BO,53.94,-17.9,-64.4833,overcast clouds,
196,Saint-Augustin,CA,42.1,51.226,-58.6502,overcast clouds,Riverview Inn
198,Vardo,NO,40.98,70.3705,31.1107,overcast clouds,Vardø Hotel AS
206,Muravlenko,RU,40.51,63.7898,74.523,overcast clouds,Hostel Rus Muravlenko
210,Mortka,RU,50.34,59.3322,66.0214,overcast clouds,
211,Codrington,AU,53.87,-38.2667,141.9667,overcast clouds,Codrington Gardens Bed And Breakfast
214,Plouzane,FR,55.72,48.3833,-4.6167,overcast clouds,Lymina
218,Michurinsk,RU,50.63,52.8978,40.4907,overcast clouds,Spa-Hotel PLAZA
222,Luderitz,,55.17,-26.6481,15.1594,overcast clouds,LÜDERITZ NEST HOTEL
228,Temnikov,RU,50.49,54.6302,43.2148,overcast clouds,
238,Chaykovskiy,RU,50.4,56.7686,54.1148,overcast clouds,Гостеприимные квартиры на Ленина 40
240,Salym,RU,45.91,60.0625,71.4789,overcast clouds,Gostinitsa Salym
249,Chupa,RU,41.81,66.27,33.0549,overcast clouds,Hostel on Pionerskaya 88
250,Novoagansk,RU,40.06,61.9449,76.6625,overcast clouds,
253,Vetlanda,SE,41.16,57.4289,15.0776,overcast clouds,Best Western Vetlanda Stadshotell
256,Syumsi,RU,48.97,57.1111,51.6149,overcast clouds,"Gostinitsa ""Polar"""
