City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Sandnessjoen,NO,66.0217,12.6316,48.42,94,75,6.91,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,40.66,75,0,1.14,overcast clouds
2,Mahebourg,MU,-20.4081,57.7,75.25,73,40,12.66,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,53.8,65,74,4.21,overcast clouds
4,La Rioja,ES,42.25,-2.5,46.18,54,46,5.88,overcast clouds
5,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,50,8.34,overcast clouds
6,Upernavik,GL,72.7868,-56.1549,21.51,76,100,5.32,overcast clouds
7,Nacala,MZ,-14.5428,40.6728,78.37,62,2,6.17,overcast clouds
8,Umm Lajj,SA,25.0213,37.2685,83.61,57,0,3.24,overcast clouds
9,Altayskoye,RU,51.9533,85.3325,43.57,61,2,3.69,overcast clouds
10,Peniche,PT,39.3558,-9.3811,61.11,94,1,7.31,overcast clouds
11,Tessalit,ML,20.1986,1.0114,84.83,15,0,14.14,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,54.63,69,19,4.83,overcast clouds
13,Buraydah,SA,26.326,43.975,82.15,13,4,10.07,overcast clouds
14,Havre-Saint-Pierre,CA,50.2334,-63.5986,47.28,81,9,16.35,overcast clouds
15,Mayumba,GA,-3.432,10.6554,75.18,86,99,4.63,overcast clouds
16,Muscat,OM,23.6139,58.5922,85.8,55,0,6.42,overcast clouds
17,Busselton,AU,-33.65,115.3333,63.01,60,0,13.65,overcast clouds
18,Port Shepstone,ZA,-30.7414,30.455,66.49,72,100,17.13,overcast clouds
19,Pisco,PE,-13.7,-76.2167,58.01,86,15,1.88,overcast clouds
20,Bell Ville,AR,-32.6259,-62.6887,62.67,52,75,15.39,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,52.09,88,95,5.99,overcast clouds
22,Matagami,CA,49.7502,-77.6328,51.22,90,98,5.57,overcast clouds
23,Barra Do Garcas,BR,-15.89,-52.2567,75.4,70,10,0.36,overcast clouds
24,Vila Velha,BR,-20.3297,-40.2925,73.35,95,100,1.14,overcast clouds
25,Koscierzyna,PL,54.1223,17.9812,51.3,94,4,9.13,overcast clouds
26,Mazagao,BR,-0.115,-51.2894,75.72,92,67,4.09,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,42.12,81,100,2.01,overcast clouds
28,Khartoum,SD,15.5518,32.5324,82.02,63,85,1.01,overcast clouds
29,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,5.75,overcast clouds
30,Presidente Epitacio,BR,-21.7633,-52.1156,68.23,79,11,4.38,overcast clouds
31,Castro,BR,-24.7911,-50.0119,55.92,98,100,5.06,overcast clouds
32,East London,ZA,-33.0153,27.9116,62.71,68,92,13.53,overcast clouds
33,Dawlatabad,AF,36.4141,64.9053,72.34,19,0,4.32,overcast clouds
34,Vesoul,FR,47.5833,5.8333,46.08,94,71,3.22,overcast clouds
35,Taoudenni,ML,22.6783,-3.9836,88.92,17,30,13.11,overcast clouds
36,Trofors,NO,65.5333,13.4063,44.47,92,100,3.27,overcast clouds
37,Bandarbeyla,SO,9.4942,50.8122,81.23,67,41,15.86,overcast clouds
38,Ayorou,NE,14.7308,0.9174,84.29,54,4,13.4,overcast clouds
39,Namibe,AO,-15.1961,12.1522,65.1,92,48,3.27,overcast clouds
40,Namwala,ZM,-15.7504,26.4384,70.43,37,0,4.92,overcast clouds
41,Harper,LR,4.375,-7.7169,75.15,90,96,3.36,overcast clouds
42,Itaituba,BR,-4.2761,-55.9836,73.74,88,24,2.42,overcast clouds
43,Los Llanos De Aridane,ES,28.6585,-17.9182,76.12,45,0,10.0,overcast clouds
44,Georgetown,MY,5.4112,100.3354,85.98,74,40,5.01,overcast clouds
45,Lagoa,PT,39.05,-27.9833,68.43,79,98,6.91,overcast clouds
46,Vagay,RU,57.9375,69.0217,47.19,84,100,7.78,overcast clouds
47,Sisimiut,GL,66.9395,-53.6735,31.66,82,100,8.75,overcast clouds
48,Thiadiaye,SN,14.4205,-16.7056,79.61,88,100,6.62,overcast clouds
49,Banki,IN,20.3833,85.5333,80.71,96,100,5.23,overcast clouds
50,Cape Town,ZA,-33.9258,18.4232,61.38,85,79,4.9,overcast clouds
51,Clearwater,US,27.9659,-82.8001,70.07,77,0,11.01,overcast clouds
52,Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,6.93,overcast clouds
53,Otukpo,NG,7.1913,8.1329,70.86,98,99,4.25,overcast clouds
54,Muromtsevo,RU,56.3724,75.2418,39.96,59,100,9.51,overcast clouds
55,Cidreira,BR,-30.1811,-50.2056,51.6,85,13,7.2,overcast clouds
56,Saldanha,ZA,-33.0117,17.9442,56.8,74,15,10.67,overcast clouds
57,Castlerea,IE,53.7667,-8.5,58.95,97,100,10.18,overcast clouds
58,Mecca,SA,21.4267,39.8261,86.38,35,5,2.48,overcast clouds
59,Rocha,UY,-34.4833,-54.3333,45.63,88,46,2.24,overcast clouds
60,Neuquen,AR,-38.9516,-68.0591,48.09,87,0,0.0,overcast clouds
61,Kostino,RU,58.9097,53.2691,48.22,67,81,7.34,overcast clouds
62,Guliston,UZ,40.4897,68.7842,70.16,17,0,3.87,overcast clouds
63,Changuinola,PA,9.4333,-82.5167,78.6,89,83,3.94,overcast clouds
64,Marawi,PH,7.9986,124.2928,77.76,80,98,4.34,overcast clouds
65,Pindiga,NG,9.9833,10.9333,69.75,96,100,5.46,overcast clouds
66,Usinsk,RU,65.9939,57.5281,39.7,80,100,6.13,overcast clouds
67,Ponta Do Sol,PT,32.6667,-17.1,71.71,63,38,2.8,overcast clouds
68,Balkhash,KZ,46.844,74.9804,48.81,25,0,20.13,overcast clouds
69,Dikson,RU,73.5069,80.5464,32.18,99,100,6.93,overcast clouds
70,Agirish,RU,61.9247,63.0231,43.95,94,100,2.21,overcast clouds
71,Arraial Do Cabo,BR,-22.9661,-42.0278,67.59,85,100,1.72,overcast clouds
72,Augustow,PL,53.8432,22.9798,49.01,79,100,15.93,overcast clouds
73,Milton Keynes,GB,52.0417,-0.7558,57.76,92,100,11.03,overcast clouds
74,Aden,YE,12.7794,45.0367,86.7,71,0,12.95,overcast clouds
75,Kismayo,SO,-0.3582,42.5454,78.64,76,19,12.3,overcast clouds
76,Qaanaaq,GL,77.484,-69.3632,17.08,74,100,5.84,overcast clouds
77,Kargopol,RU,61.5071,38.9456,44.49,93,32,7.99,overcast clouds
78,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.82,93,96,5.77,overcast clouds
79,Quelimane,MZ,-17.8786,36.8883,77.14,68,0,7.61,overcast clouds
80,Kaabong,UG,3.4836,34.1492,67.71,66,91,9.53,overcast clouds
81,Rudbar,AF,30.15,62.6,82.31,15,0,5.59,overcast clouds
82,Campos Belos,BR,-13.0367,-46.7717,75.45,52,68,2.91,overcast clouds
83,San Ignacio,BZ,17.1561,-89.0714,71.26,90,83,3.4,overcast clouds
84,Jamestown,US,42.097,-79.2353,42.19,73,100,1.01,overcast clouds
85,Iqaluit,CA,63.7506,-68.5145,36.7,86,100,11.99,overcast clouds
86,Yar-Sale,RU,66.8333,70.8333,40.15,74,100,12.33,overcast clouds
87,Bageshwar,IN,29.85,79.7667,79.68,56,4,2.42,overcast clouds
88,Jalu,LY,29.0331,21.5482,68.65,73,0,7.43,overcast clouds
89,Mitsamiouli,KM,-11.3847,43.2844,76.39,70,43,7.85,overcast clouds
90,Demidov,RU,55.2706,31.515,40.66,97,100,1.21,overcast clouds
91,Port Alfred,ZA,-33.5906,26.891,57.18,86,69,3.0,overcast clouds
92,Kibala,TD,9.1104,18.3463,70.57,98,100,6.06,overcast clouds
93,Taloqan,AF,36.7361,69.5345,72.27,23,0,3.2,overcast clouds
94,Machilipatnam,IN,16.1667,81.1333,80.29,83,100,7.43,overcast clouds
95,San Antonio,US,29.4241,-98.4936,73.99,45,100,3.89,overcast clouds
96,Zhanakorgan,KZ,43.9098,67.2495,63.68,19,0,6.33,overcast clouds
97,Saint-Pierre,RE,-21.3393,55.4781,76.68,61,0,5.75,overcast clouds
98,Cuamba,MZ,-14.8031,36.5372,75.67,37,0,7.92,overcast clouds
99,Kapuskasing,CA,49.4169,-82.4331,50.25,93,99,5.84,overcast clouds
100,Sorland,NO,67.667,12.6934,46.26,83,90,17.34,overcast clouds
101,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.24,86,100,5.19,overcast clouds
102,Iranshahr,IR,27.2025,60.6848,88.59,24,0,1.59,overcast clouds
103,Asyut,EG,27.181,31.1837,73.6,50,0,8.95,overcast clouds
104,Ikom,NG,5.9667,8.7063,71.4,97,99,1.25,overcast clouds
105,Ribeira Grande,PT,38.5167,-28.7,69.31,82,93,3.8,overcast clouds
106,Hithadhoo,MV,-0.6,73.0833,82.44,69,93,16.02,overcast clouds
107,Puerto Montt,CL,-41.4698,-72.9447,49.75,94,99,10.96,overcast clouds
108,Shatura,RU,55.5725,39.5368,49.64,79,9,13.8,overcast clouds
109,Snezhnogorsk,RU,69.1933,33.2531,37.18,88,100,1.03,overcast clouds
110,Vasto,IT,42.1243,14.7059,61.68,77,11,5.59,overcast clouds
111,Najran,SA,17.4924,44.1277,78.24,14,1,2.86,overcast clouds
112,Torbay,CA,47.6666,-52.7314,41.76,80,7,4.0,overcast clouds
